1⃣️ 蔡氏📡央 视📡,#genre#

CCTV-1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV-1HD,http://192.151.150.154/live/cctv1hd.m3u8
CCTV-2HD,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-4HD,http://192.151.150.154/live/cctv4hd.m3u8
CCTV-6HD,http://192.151.150.154/live/cctv6hd.m3u8
CCTV-7HD,http://192.151.150.154/live/cctv7hd.m3u8
CCTV-8HD,http://192.151.150.154/live/cctv8hd.m3u8
CCTV-9HD,http://192.151.150.154/live/cctv9hd.m3u8
CCTV-10HD,http://192.151.150.154/live/cctv10hd.m3u8
CCTV-11HD,http://192.151.150.154/live/cctv11hd.m3u8
CCTV-13HD,http://192.151.150.154/live/cctv13hd.m3u8
CCTV-17HD,http://192.151.150.154/live/cctv17hd.m3u8
CCTV-4K超高清,http://192.151.150.154/live/cctv4k.m3u8
CCTV-8K超高清,http://192.151.150.154/live/cctv8k.m3u8
CCTV-1HD,http://198.204.228.26/live/cctv1hd.m3u8
CCTV-3HD,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-4HD,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-5HD,http://198.204.228.26/live/cctv5hd.m3u8
CCTV-6HD,http://198.204.228.26/live/cctv6hd.m3u8
CCTV-8HD,http://198.204.228.26/live/cctv8hd.m3u8
CCTV-9HD,http://198.204.228.26/live/cctv9hd.m3u8
CCTV-10HD,http://198.204.228.26/live/cctv10hd.m3u8
CCTV-11HD,http://198.204.228.26/live/cctv11hd.m3u8
CCTV-12HD,http://198.204.228.26/live/cctv12hd.m3u8
CCTV-13HD,http://198.204.228.26/live/cctv13hd.m3u8
CCTV-14HD,http://198.204.228.26/live/cctv14hd.m3u8
CCTV-15HD,http://198.204.228.26/live/cctv15hd.m3u8
CCTV-5+HD,http://198.204.228.26/live/cctv5p.m3u8
CCTV-4K超高清,http://198.204.228.26/live/cctv4k.m3u8
CCTV-8K超高清,http://198.204.228.26/live/cctv8k.m3u8
CCTV-电视指南,http://198.204.228.26/live/dszn.m3u8
CCTV-第一剧场,http://198.204.228.26/live/dyjc.m3u8
CCTV-风云剧场,http://198.204.228.26/live/fyjc.m3u8
CCTV-风云音乐,http://198.204.228.26/live/fyyy.m3u8
CCTV-风云足球,http://198.204.228.26/live/fyzq.m3u8
CCTV-高尔夫网球,http://198.204.228.26/live/gefwq.m3u8
CCTV-兵器科技,http://198.204.228.26/live/gfjs.m3u8
CCTV-世界地理,http://198.204.228.26/live/sjdl.m3u8
CCTV-怀旧剧场,http://198.204.228.26/live/hjjc.m3u8
CCTV-央视台球,http://198.204.228.26/live/ystq.m3u8
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8
CHC影迷电影,http://107.150.60.122/live/chchd.m3u8
CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8
重温经典,http://107.150.60.122/live/cwjd.m3u8
2⃣️ 蔡氏🇭🇰港 台🇹🇼,#genre#

唐人卫视频道,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
无线新闻台国际版,https://php.946985.filegear-sg.me/tvbnews.php?id=inews
无线新闻台,https://php.946985.filegear-sg.me/tvbnews.php?id=c
凤凰资讯,http://c.123.rr.kg/163189/fhzx
凤凰中文,http://c.123.rr.kg/163189/fhzw
凤凰卫视香港台,http://c.123.rr.kg/163189/fhhk
翡翠台,http://c.123.rr.kg/163189/fct
翡翠台,http://c.123.rr.kg/163189/jade
无线新闻台,http://c.123.rr.kg/163189/wxxw
HOYTV,http://c.123.rr.kg/163189/hoy
TVBJADE(高清),http://c.123.rr.kg/163189/hlfct
TVB功夫台,http://c.123.rr.kg/163189/yzwx
TVB娱乐新闻台,http://c.123.rr.kg/163189/ylxw
无线新闻台,http://c.123.rr.kg/163189/wxxwt
TVB星河,http://c.123.rr.kg/163189/tvbxh
翡翠一台(TVB1),http://c.123.rr.kg/163189/tvb1
TVB翡翠综合台(TVBJ1),http://c.123.rr.kg/163189/j1
TVB翡翠台(TVBDRAMA),http://c.123.rr.kg/163189/tvbd
3⃣️ 蔡氏🇭🇰港,#genre#,DE=3

翡翠台4K(字幕),https://cdn3.indevs.in/stream/tvb/fct4k/
凤凰中文,https://cdn6.cc.cd/163189/fhzw
CCTV1港澳版,https://cdn6.cc.cd/163189/cctv1
CCTV13,https://10.fast.hidns.vip/163189/cctv13/
TVB Plus(字幕),https://cdn3.indevs.in/stream/tvb/tvbp/
HOY TV,https://cdn6.cc.cd/163189/hoy
HOY TV,https://fast.hidns.vip/163189/hoy
HOY资讯台,https://fast.hidns.vip/163189/hoy78
HOY国际财经台,https://cdn11.163189.xyz/163189/hoy76
ViuTV,https://10.fast.hidns.vip/163189/viu/
ViuTVsix,https://10.fast.hidns.vip/163189/viu6/
NOW新闻台,https://fast.hidns.vip/163189/now
RTHK31,https://fast.hidns.vip/163189/rthk31
RTHK32,https://fast.hidns.vip/163189/rthk32
澳视澳门,https://cdn6.cc.cd/163189/asam
澳视卫星,https://cdn6.cc.cd/163189/as
澳门体育,https://cdn6.cc.cd/163189/amty
澳门综艺,https://cdn6.cc.cd/163189/amzy
澳门莲花,https://cdn6.cc.cd/163189/amlh
重温经典,https://cdn6.cc.cd/163189/cwjd
凤凰资讯,https://cdn6.cc.cd/163189/fhzx
凤凰香港,https://cdn6.cc.cd/163189/fhhk
TVB1,https://cdn6.cc.cd/163189/tvb1
TVBJ1,https://cdn6.cc.cd/163189/j1
翡翠剧集台,https://cdn6.cc.cd/163189/tvbd
翡翠台,https://cdn6.cc.cd/163189/fct
